courseno,classno,title,classification,instructor,credit,hour
10023,16,Christianity and the World,Liberal Arts Courses,Myung Sahm Suh,3,3
11095,2,Share Leadership,Liberal Arts Courses,Kim  Miduk,2,3
11203,1,Global Business Communication,Liberal Arts Courses,Seon Ju Oh,3,3
11203,2,Global Business Communication,Liberal Arts Courses,Seon Ju Oh,3,3
11203,3,Global Business Communication,Liberal Arts Courses,,3,3
11203,4,Global Business Communication,Liberal Arts Courses,,3,3
10098,1,College English,Liberal Arts Courses,Yu Kyung Han,3,3
10098,2,College English,Liberal Arts Courses,Min Ji Chae,3,3
10098,3,College English,Liberal Arts Courses,Jean Paquette,3,3
10098,4,College English,Liberal Arts Courses,H. J. Hodges,3,3
10098,5,College English,Liberal Arts Courses,Shu Che,3,3
10098,6,College English,Liberal Arts Courses,Soo Kyung Lee,3,3
10098,7,College English,Liberal Arts Courses,Young Yeah Hong,3,3
10098,8,College English,Liberal Arts Courses,Young Yeah Hong,3,3
10098,9,College English,Liberal Arts Courses,H. J. Hodges,3,3
10098,10,College English,Liberal Arts Courses,David J. Hamilton,3,3
10098,11,College English,Liberal Arts Courses,Peter H. Kipp,3,3
10098,12,College English,Liberal Arts Courses,Joo In  Hwang,3,3
10098,13,College English,Liberal Arts Courses,Anthony F. Davis,3,3
10098,14,College English,Liberal Arts Courses,Bruce D. Barnes,3,3
10098,15,College English,Liberal Arts Courses,Yu Kyung Han,3,3
10098,16,College English,Liberal Arts Courses,Soo Kyung Lee,3,3
10098,17,College English,Liberal Arts Courses,Shu Che,3,3
10098,18,College English,Liberal Arts Courses,Hae Chin Moon,3,3
10098,19,College English,Liberal Arts Courses,Sung Jung hye,3,3
10098,20,College English,Liberal Arts Courses,Lee  Hyunbok,3,3
10098,21,College English,Liberal Arts Courses,Jean Paquette,3,3
10098,22,College English,Liberal Arts Courses,Anthony F. Davis,3,3
10098,23,College English,Liberal Arts Courses,Bruce D. Barnes,3,3
10098,24,College English,Liberal Arts Courses,CHUN YANGSUN,3,3
10098,25,College English,Liberal Arts Courses,Sangmin Lee,3,3
10098,26,College English,Liberal Arts Courses,Kim  Myoung Ok,3,3
10098,27,College English,Liberal Arts Courses,OH  Hae Jin,3,3
10098,28,College English,Liberal Arts Courses,Oh  Eunjin,3,3
10099,1,Advanced English,Liberal Arts Courses,Brian D. Ridgeway,3,3
10099,2,Advanced English,Liberal Arts Courses,Anthony F. Davis,3,3
10099,3,Advanced English,Liberal Arts Courses,Bruce D. Barnes,3,3
10099,4,Advanced English,Liberal Arts Courses,Hyen Joo Park,3,3
10099,5,Advanced English,Liberal Arts Courses,Min Ji Chae,3,3
10099,6,Advanced English,Liberal Arts Courses,Young Yeah Hong,3,3
10099,7,Advanced English,Liberal Arts Courses,Joo In  Hwang,3,3
10099,8,Advanced English,Liberal Arts Courses,Sun Young Lee,3,3
10099,9,Advanced English,Liberal Arts Courses,Peter H. Kipp,3,3
10099,10,Advanced English,Liberal Arts Courses,Karen Muckenhirn,3,3
10099,11,Advanced English,Liberal Arts Courses,Hae Chin Moon,3,3
10099,12,Advanced English,Liberal Arts Courses,Caroline Kim,3,3
10099,13,Advanced English,Liberal Arts Courses,Shu Che,3,3
10099,14,Advanced English,Liberal Arts Courses,Kim  Myoung Ok,3,3
10099,15,Advanced English,Liberal Arts Courses,OH  Hae Jin,3,3
10099,16,Advanced English,Liberal Arts Courses,Jean Paquette,3,3
10099,17,Advanced English,Liberal Arts Courses,Sangmin Lee,3,3
10099,18,Advanced English,Liberal Arts Courses,Yoonji Kim,3,3
10099,19,Advanced English,Liberal Arts Courses,Lee  Hyunbok,3,3
10099,20,Advanced English,Liberal Arts Courses,Hyeweon Moon,3,3
10099,21,Advanced English,Liberal Arts Courses,CHO  Hyojin,3,3
10099,22,Advanced English,Liberal Arts Courses,Min Ji Chae,3,3
10099,23,Advanced English,Liberal Arts Courses,Yu Kyung Han,3,3
10099,24,Advanced English,Liberal Arts Courses,Soo Kyung Lee,3,3
10099,25,Advanced English,Liberal Arts Courses,Brian D. Ridgeway,3,3
10099,26,Advanced English,Liberal Arts Courses,Jung  Daun,3,3
10099,27,Advanced English,Liberal Arts Courses,KANG  NA YEON,3,3
10099,28,Advanced English,Liberal Arts Courses,Ann Yunmi Keh,3,3
10099,29,Advanced English,Liberal Arts Courses,David J. Hamilton,3,3
10099,30,Advanced English,Liberal Arts Courses,Shu Che,3,3
10099,31,Advanced English,Liberal Arts Courses,Kim  Myoung Ok,3,3
10099,32,Advanced English,Liberal Arts Courses,H. J. Hodges,3,3
10099,33,Advanced English,Liberal Arts Courses,Shu Che,3,3
10099,34,Advanced English,Liberal Arts Courses,Brian D. Ridgeway,3,3
10099,35,Advanced English,Liberal Arts Courses,Anthony F. Davis,3,3
10099,36,Advanced English,Liberal Arts Courses,Bruce D. Barnes,3,3
10099,37,Advanced English,Liberal Arts Courses,Jean Paquette,3,3
10099,38,Advanced English,Liberal Arts Courses,Thomas E. Webster,3,3
10099,39,Advanced English,Liberal Arts Courses,Suyeon Kim,3,3
10099,40,Advanced English,Liberal Arts Courses,Chung  Jae Yun,3,3
10099,41,Advanced English,Liberal Arts Courses,Caroline Kim,3,3
10099,42,Advanced English,Liberal Arts Courses,Christopher Linville,3,3
10099,43,Advanced English,Liberal Arts Courses,Joo In  Hwang,3,3
10099,44,Advanced English,Liberal Arts Courses,Soo Kyung Lee,3,3
10099,45,Advanced English,Liberal Arts Courses,Yu Kyung Han,3,3
10099,46,Advanced English,Liberal Arts Courses,MEE YOUNG JIN,3,3
10099,47,Advanced English,Liberal Arts Courses,Hye Sook Min,3,3
10099,48,Advanced English,Liberal Arts Courses,Thomas E. Webster,3,3
10099,49,Advanced English,Liberal Arts Courses,H. J. Hodges,3,3
10099,50,Advanced English,Liberal Arts Courses,Yoonji Kim,3,3
10099,51,Advanced English,Liberal Arts Courses,Lee  Hyunbok,3,3
10099,52,Advanced English,Liberal Arts Courses,Hyeweon Moon,3,3
10099,53,Advanced English,Liberal Arts Courses,KO  KEUN YOUNG,3,3
10099,54,Advanced English,Liberal Arts Courses,Hye Sook Min,3,3
10099,55,Advanced English,Liberal Arts Courses,So Young Lee,3,3
10099,56,Advanced English,Liberal Arts Courses,Young Yeah Hong,3,3
10099,57,Advanced English,Liberal Arts Courses,Sangmin Lee,3,3
10099,58,Advanced English,Liberal Arts Courses,Hyeweon Moon,3,3
10099,59,Advanced English,Liberal Arts Courses,Hae Chin Moon,3,3
10099,60,Advanced English,Liberal Arts Courses,OH  Hae Jin,3,3
10099,61,Advanced English,Liberal Arts Courses,David J. Hamilton,3,3
10099,62,Advanced English,Liberal Arts Courses,Christopher Linville,3,3
10099,63,Advanced English,Liberal Arts Courses,Oh  Eunjin,3,3
10840,1,Writing and Discussion,Liberal Arts Courses,So Young Lee,3,3
10840,2,Writing and Discussion,Liberal Arts Courses,Caroline Kim,3,3
10840,3,Writing and Discussion,Liberal Arts Courses,Christopher Linville,3,3
11183,1,The Story of Human Language,Liberal Arts Courses,,3,3
11165,1,Topics in Multiethnic American Literature,Liberal Arts Courses,Min Ji Chae,3,3
11164,1,Contemporary Photography,Liberal Arts Courses,Thomas E. Webster,3,3
11057,1,Modern Western History through Themes,Liberal Arts Courses,Kyung Deok Roh,3,3
11041,1,Human Being and Philosophical Thinking,Liberal Arts Courses,Choong Su Han,3,3
11163,1,Literacy in the 21st Century,Liberal Arts Courses,Thomas E. Webster,3,3
10109,2,Human Development and the Family,Liberal Arts Courses,HAN SAE YOUNG,3,3
11188,1,Introduction to Ethnic Conflict and Management,Liberal Arts Courses,Jennifer Sejin Oh,3,3
10930,1,Behavior of Animals,Liberal Arts Courses,JANG  YIKWEON,3,3
11155,1,Science and Fiction,Liberal Arts Courses,AHJEONG SON,3,3
10504,1,Korean Ceramics I,Liberal Arts Courses,Lee Eun Young,3,3
10505,1,Korean Ceramics II,Liberal Arts Courses,Eun Lee,3,3
10952,1,Introductory Psychology in Education,Liberal Arts Courses,OH  INSOO,3,3
10962,1,Introduction to Counseling,Liberal Arts Courses,OH  INSOO,3,3
10562,1,Sports and globalization,Liberal Arts Courses,HONG EUNAH,3,3
10567,1,Academic English,Liberal Arts Courses,LEE SO YOUNG,3,3
10596,1,Current Issues,Liberal Arts Courses,Hae Chin Moon,3,3
10597,1,Business and Technical English,Liberal Arts Courses,BRIAN D. RIDGEWAY,3,3
10641,1,Speech and Presentation,Liberal Arts Courses,Yoonji Kim,3,3
10643,1,Cinema Arts and English,Liberal Arts Courses,,3,3
10709,1,World Women Through English,Liberal Arts Courses,Min Hye Sook,3,3
10811,1,Research Writing,Liberal Arts Courses,Caroline Kim,3,3
11052,1,Special Topics in English,Liberal Arts Courses,David J. Hamilton,3,3
11310,1,Literary Themes in Films,Liberal Arts Courses,Min Hye Sook,3,3
